Player,Positions
Terrance Ferguson,"SG,SF"
Jordan Mickey,"PF,C"
AJ Hammons,C 
Elijah Millsap,"SG,SF"
Bruno Caboclo,SF
Jake Layman,"PF,SF"
Iman Shumpert,"SG,SF "
Kyle Wiltjer,PF 
Richard Jefferson,"SG,SF,PF"
Deyonta Davis,"PF,C"
Udonis Haslem,PF
Keita Bates-Diop,SF
Josh McRoberts,"PF,C"
Tarik Black,"PF,C"
Cole Aldrich,C
Damian Jones,C 
Salah Mejri,C
Sterling Brown,SG
Rashad Vaughn,"SG,SF"
Okaro White,PF 
Chris McCullough,PF
Tyler Lydon,PF
Nick Collison,"PF,C"
Sindarius Thornwell,SG
Christian Wood,"PF,C"
Dwight Buycks,"PG,SG"
Reggie Hearn,G 
Keenan Evans,G 
Zach Lofton,G 
DeVaughn Akoon-Purcell,G
Donald Sloan,"PG,SG"
Beno Udrih,PG
Xavier Silas,SG
Rob Gray,G
Isaiah Taylor,PG
Roy Hibbert,C
Monte Morris,PG
Johnny Hamilton,C
Markel Brown,SG
Emanuel Terry,F 
Gary Clark,F
Rodions Kurucs,F
Matt Costello,"PF,SF "
Jarred Vanderbilt,F
Darrun Hilliard,"SG,SF"
Drew Eubanks,F
Ding Yanyuhang,F
Aaron Harrison,"PG,SG"
Codi Miller-McIntyre,G
Maalik Wayns,"PG,SG"
Daryl Macon,G
Brandon Paul,SG
Ryan Broekhoff,F
Scotty Hopson,SG
Maxi Kleber,PF
Chimezie Metu,F 
R.J. Hunter,SG 
Thomas Robinson,"PF,C"
Daniel Hamilton,"SF,SG"
Jaylen Adams,G
Andrew White,F
Jeremy Evans,"SF,PF"
Thomas Welsh,C
Jaron Blossomgame,SF
Tyler Dorsey,"PG,SG "
Sheldon Mac,SG
Alex Poythress,"SF,PF "
Aaron Jackson,G
Jeff Withey,C
Ray Spalding,F
Isaac Bonga,F 
Anthony Brown,SF
Landry Shamet,G
Jonah Bolden,PF
Tiago Splitter,"C,PF"
Josh Magette,PG
James Michael McAdoo,"PF,SF "
Emeka Okafor,C
,
,
