"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Kelly Oubre Jr.","PHO","SF","10.6","4.4","1.2","0.4","1.1",".406",".805","1.2","80","23.7","0.9"
"Malcolm Brogdon","MIL","PG,SG","10.6","3.0","3.7","0.2","1.1",".470",".869","1.1","79","27.0","1.4"
"Jarrett Allen","BKN","PF,C","10.5","7.2","0.8","1.6","0.5",".593",".778","0.1","79","29.4","1.5"
"Wendell Carter Jr.","CHI","C ","10.5","7.2","1.3","1.0","0.6",".487",".726","0.3","79","28.1","1.3"
"Markelle Fultz","ORL","PG,SG ","10.4","3.7","4.0","0.4","1.1",".469",".677","0.2","78","29.2","1.7"
"Jae Crowder","UTH","SF,PF","10.4","4.3","1.4","0.3","0.9",".439",".819","1.4","80","23.4","0.9"
"Reggie Bullock","LAL","SG,SF","10.3","4.1","2.2","1.0","0.9",".533",".638","0.9","79","20.6","1.4"
"Joe Ingles","UTH","SG,SF","10.2","4.4","3.6","0.5","1.1",".466",".729","1.5","79","26.7","1.9"
"Domantas Sabonis","IND","PF,C","10.2","6.6","1.7","0.5","0.6",".480",".736","0.5","80","26.6","1.6"
"Spencer Dinwiddie","BKN","PG ","10.2","3.0","5.0","0.4","0.7",".403",".805","1.3","77","23.3","1.4"
"Bobby Portis","WAS","PF,C","10.2","5.7","1.3","0.2","0.5",".472",".750","0.9","78","22.5","1.1"
"Seth Curry","POR","PG,SG","10.2","2.5","2.1","0.1","0.9",".478",".849","1.1","74","18.9","1.2"
"Jaren Jackson Jr.","MEM","PF ","10.1","5.8","1.1","1.2","0.7",".481",".764","0.4","78","25.9","1.3"
"Marco Belinelli","SAS","SG,SF","10.1","2.2","1.7","0.2","0.9",".433",".890","0.9","77","20.9","1.1"
"E'Twaun Moore","NOR","SG,SF","10.1","3.6","1.7","0.4","0.8",".477",".786","1.4","80","24.0","0.9"
