"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Miles Bridges","CHA","SF","8.2","4.7","0.9","0.6","0.5",".483",".720","0.5","82","0","0.8"
"Patrick Beverley","LAC","PG,SG","8.1","4.4","3.1","0.3","1.2",".415",".759","1.5","75","29.0","1.2"
"Manu Ginobili","FA","SG,SF","8.1","2.5","2.9","0.2","1.2",".410",".790","1.2","67","20.0","1.6"
"JR Smith","CLE","SG,SF ","8.0","2.8","1.6","0.2","0.9",".363",".652","1.9","76","25.0","0.8"
"Mason Plumlee","DEN","PF,C","8.0","6.3","2.6","1.0","0.7",".549",".567","0.0","77","20.0","1.5"
"Alex Len","ATL","PF,C","8.0","6.8","1.0","1.0","0.4",".492",".711","0.0","79","23.0","1.5"
"Dejounte Murray","SAS","PG ","8.0","2.3","2.9","0.4","0.5",".440",".720","0.6","70","18.0","2.1"
"Courtney Lee","DAL","SG,SF","8.0","2.5","1.8","0.2","0.8",".446",".879","1.0","79","29.0","0.8"
"Timofey Mozgov","ORL","C ","7.9","5.4","0.7","0.8","0.4",".520",".740","0.0","70","21.0","1.4"
"Gerald Green","HOU","SG,SF","7.9","2.6","0.5","0.3","0.4",".408",".837","1.7","82","0","0.6"
"Trey Burke","DAL","PG","7.9","1.4","3.1","0.1","0.4",".455",".686","0.8","82","0","1.0"
"Bobby Portis","WAS","PF,C","7.8","5.1","0.9","0.2","0.4",".472",".725","0.6","73","18.0","0.8"
"Domantas Sabonis","IND","PF,C","7.8","4.8","1.3","0.4","0.6",".449",".698","0.6","81","20.0","1.2"
"Nick Young","FA","SG,SF","7.7","1.6","0.6","0.1","0.4",".390",".850","1.7","55","17.0","0.4"
"Shai Gilgeous-Alexander","LAC","PG","7.7","1.3","2.4","0.1","0.7",".447",".786","1.0","82","0","1.2"
"Jahlil Okafor","NOR","C","7.6","2.8","0.7","0.6","0.3",".544",".695","0.0","71","15.0","0.9"
"JaVale McGee","LAL","C","7.6","4.2","0.3","0.9","0.3",".631",".553","0.0","77","12.0","0.7"
"Paul Zipser","FA","SF,PF,SG","7.6","3.8","1.1","0.6","0.5",".400",".790","1.1","70","25.0","1.2"
"Mirza Teletovic","FA","SF,PF","7.6","3.0","0.8","0.2","0.2",".390",".760","1.6","70","18.0","0.7"
"Stanley Johnson","NOR","SG,SF","7.6","3.6","1.7","0.4","1.0",".386",".744","1.0","80","25.0","1.3"
"Nerlens Noel","OKC","PF,C","7.6","5.7","1.1","1.0","1.1",".559",".668","0.0","75","25.0","1.1"
"Justin Holiday","MEM","SG,SF","7.6","2.7","1.5","0.4","0.9",".400",".797","1.3","77","25.0","0.9"
"Tristan Thompson","CLE","PF,C ","7.5","8.0","0.9","0.8","0.5",".561",".561","0.0","81","26.0","0.8"
"Ramon Sessions","FA","PG,SG","7.5","2.1","2.7","0.1","0.5",".410",".760","0.3","65","20.0","1.2"
"Trevor Booker","FA","PF,C","7.5","6.3","1.4","0.4","0.8",".480",".670","0.5","72","20.6","1.3"
"Kevin Huerter","ATL","SG ","7.5","1.0","0.9","0.1","0.3",".419",".765","1.1","82","0","0.7"
"Jonathan Isaac","ORL","PF,SF","7.4","4.8","1.0","1.0","1.0",".409",".755","0.6","77","23.0","1.2"
"Danny Green","TOR","SG,SF","7.4","3.1","1.6","0.8","0.8",".384",".773","1.8","79","26.5","0.9"
"James Ennis III","PHI","SG,SF","7.4","3.8","1.1","0.3","0.8",".457",".796","1.2","73","24.0","0.9"
"Thon Maker","DET","PF,C","7.3","3.7","0.9","0.8","0.5",".450",".677","1.0","76","24.0","0.6"
"D.J. Augustin","ORL","PG","7.1","1.4","2.9","0.0","0.4",".408",".832","1.1","76","12.0","1.1"
"Ersan Ilyasova","MIL","SF,PF","7.1","3.6","0.8","0.2","0.5",".450",".754","1.0","79","23.0","0.7"
"Richaun Holmes","PHO","PF,C","7.1","3.5","0.8","0.7","0.5",".540",".680","0.8","70","15.0","0.7"
"Dewayne Dedmon","ATL","C","7.0","7.6","0.8","0.8","0.6",".563",".708","0.2","73","23.0","1.3"
"John Henson","CLE","PF,C ","6.9","5.2","1.0","1.4","0.5",".551",".625","0.0","72","18.0","1.0"
"Jordan Crawford","FA","PG,SG","6.9","0.9","1.4","0.1","0.3",".470",".780","1.0","60","12.0","0.6"
"Zach Collins","POR","PF,C","6.9","4.9","0.8","0.9","0.4",".462",".691","0.5","77","18.0","1.3"
"Dillon Brooks","MEM","SG,SF ","6.9","2.1","1.1","0.2","0.6",".434",".739","0.7","51","6.0","1.0"
"Justin Jackson","DAL","SF","6.8","2.4","1.3","0.2","0.4",".424",".727","0.9","77","18.0","0.8"
"Marreese Speights","FA","PF,C","6.8","3.3","0.7","0.4","0.2",".440",".850","0.8","70","12.0","0.7"
"Chandler Parsons","MEM","SF,PF ","6.8","2.5","1.4","0.2","0.5",".426",".737","1.1","66","22.0","0.8"
